,company,industry_code,industry_name,sector_code,sector_name
135,Pearl Global Ind, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
136,Zodiac Cloth. Co, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
137,Kitex Garments, 234,Textiles - Readymade Apparel, 64,Readymade Garments/ Apparells
138,NRC, 83,Textiles - Rayon, 5,Textiles
139,Aditya Bir. Nuv., 83,Textiles - Rayon, 5,Textiles
140,STL Global, 220,Textiles - Processing, 5,Textiles
141,Emtex Inds(I), 220,Textiles - Processing, 5,Textiles
142,E-Land Apparel, 220,Textiles - Processing, 5,Textiles
143,Shri Lakshmi, 220,Textiles - Processing, 5,Textiles
144,Jindal Worldwide, 63,Textiles - Others, 5,Textiles
145,Gretex Indust., 63,Textiles - Others, 5,Textiles
146,Indian Terrain, 63,Textiles - Others, 5,Textiles
147,Hanung Toys, 63,Textiles - Others, 5,Textiles
148,Mavi Industries, 63,Textiles - Others, 5,Textiles
149,Momai Apparels, 63,Textiles - Others, 5,Textiles
150,S P Apparels, 63,Textiles - Others, 5,Textiles
151,Bombay Rayon, 63,Textiles - Others, 5,Textiles
152,Garware-Wall Rop, 63,Textiles - Others, 5,Textiles
153,Monte Carlo Fas., 63,Textiles - Others, 5,Textiles
154,Celebrity Fash., 63,Textiles - Others, 5,Textiles
155,Morarjee Text., 63,Textiles - Others, 5,Textiles
156,Raymond, 63,Textiles - Others, 5,Textiles
157,Lovable Lingerie, 63,Textiles - Others, 5,Textiles
158,Nandani Creation, 63,Textiles - Others, 5,Textiles
159,Nandan Denim, 63,Textiles - Others, 5,Textiles
160,SPL Inds., 63,Textiles - Others, 5,Textiles
161,Arrow Textiles, 63,Textiles - Others, 5,Textiles
162,Integra Garments, 63,Textiles - Others, 5,Textiles
163,United Polyfab, 63,Textiles - Others, 5,Textiles
164,Alps Inds., 63,Textiles - Others, 5,Textiles
165,Ashapura Inti., 63,Textiles - Others, 5,Textiles
166,Sumeet Inds., 171,Textiles - Manmade - Polypropylene Filament Yarn, 5,Textiles
167,Indo Rama Synth., 171,Textiles - Manmade - Polypropylene Filament Yarn, 5,Textiles
168,Vardhman Acrylic, 34,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn, 5,Textiles
169,Modern Syntex, 34,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn, 5,Textiles
170,Century Enka, 34,Textiles - Manmade - PFY/PSF - InHouse Poly Condsn, 5,Textiles
171,CIL Nova Petro., 134,Textiles - Manmade - PFY / PSF - From Chips, 5,Textiles
172,GSL Nova Petro., 134,Textiles - Manmade - PFY / PSF - From Chips, 5,Textiles
173,Paras Petrofils, 134,Textiles - Manmade - PFY / PSF - From Chips, 5,Textiles
174,Filatex India, 134,Textiles - Manmade - PFY / PSF - From Chips, 5,Textiles
175,JBF Inds., 134,Textiles - Manmade - PFY / PSF - From Chips, 5,Textiles
176,SRF, 107,Textiles - Manmade - Nylon, 5,Textiles
177,AI Champ.Inds., 256,Textiles - Jute - Yarn / Products, 5,Textiles
178,Rajvir Inds., 256,Textiles - Jute - Yarn / Products, 5,Textiles
179,T T, 150,Textiles - Hosiery / Knitwear, 5,Textiles
180,Nahar Spinning, 150,Textiles - Hosiery / Knitwear, 5,Textiles
181,Jet Knitwears, 150,Textiles - Hosiery / Knitwear, 5,Textiles
182,Mandhana Indus, 226,Textiles - Embroidery Fabric, 5,Textiles
183,Pion. Embroider., 226,Textiles - Embroidery Fabric, 5,Textiles
184,Aarvee Denims, 6,Textiles - Denim Fabric, 5,Textiles
185,Modern Denim, 6,Textiles - Denim Fabric, 5,Textiles
186,Arvind Ltd, 6,Textiles - Denim Fabric, 5,Textiles
187,Ashima, 6,Textiles - Denim Fabric, 5,Textiles
188,Gangotri Textile, 151,Textiles - Cotton Yarn - Open-Ended Spinning, 5,Textiles
189,STI India, 151,Textiles - Cotton Yarn - Open-Ended Spinning, 5,Textiles
190,Nahar Indl. Ent., 151,Textiles - Cotton Yarn - Open-Ended Spinning, 5,Textiles
191,Maral Overseas, 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
192,Indo Count Inds., 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
193,Abhishek Corp., 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
194,Eurotex Inds., 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
195,Winsome Yarns, 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
196,Amit Spinning, 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
197,Ginni Filaments, 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
198,Spentex Inds., 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
199,Nagreeka Exports, 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
200,Patspin India, 168,Textiles - Cotton Yarn - 100% EOUs, 5,Textiles
201,Ruby Mills, 180,Textiles - Composite/Cotton/Blended/Fabric - M/S, 5,Textiles
202,Lux Industries, 180,Textiles - Composite/Cotton/Blended/Fabric - M/S, 5,Textiles
203,Soma Textiles, 218,Textiles - Composite/Cotton/Blended/Fabric - LARGE, 5,Textiles
204,Maxwell Inds., 218,Textiles - Composite/Cotton/Blended/Fabric - LARGE, 5,Textiles
205,Rai S R Mohota, 218,Textiles - Composite/Cotton/Blended/Fabric - LARGE, 5,Textiles
206,Grasim Inds, 71,Textiles - Acrylic Fibre, 5,Textiles
207,Lak. Mach. Works, 81,Textile machinery, 5,Textiles
208,Indian CardCloth, 81,Textile machinery, 5,Textiles
209,Tulip Telecom, 199,Telecommunications - Service Provider, 60,Telecomm-Service
210,Rel. Comm., 199,Telecommunications - Service Provider, 60,Telecomm-Service
211,Idea Cellular, 199,Telecommunications - Service Provider, 60,Telecomm-Service
212,OnMobile Global, 199,Telecommunications - Service Provider, 60,Telecomm-Service
213,Tata Comm, 199,Telecommunications - Service Provider, 60,Telecomm-Service
214,M T N L, 199,Telecommunications - Service Provider, 60,Telecomm-Service
215,Vital Comm., 199,Telecommunications - Service Provider, 60,Telecomm-Service
216,Tata Tele. Mah., 199,Telecommunications - Service Provider, 60,Telecomm-Service
217,Bharti Airtel, 199,Telecommunications - Service Provider, 60,Telecomm-Service
218,GTL Infra., 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
219,Shyam Telecom, 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
220,Nu Tek India, 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
221,Astra Microwave, 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
222,XL Energy, 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
223,AGC Networks, 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
224,Gemini Comm., 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
225,Kavveri Telecom, 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
226,Goldst.Infratec., 159,Telecommunications - Equipment - Medium / Small, 42,Telecomm Equipment & Infra Services
227,NELCO, 98,Telecommunications - Equipment - Large, 42,Telecomm Equipment & Infra Services
228,H F C L, 98,Telecommunications - Equipment - Large, 42,Telecomm Equipment & Infra Services
229,Spice Mobility, 98,Telecommunications - Equipment - Large, 59,Telecom-Handsets/Mobile
230,GTL, 98,Telecommunications - Equipment - Large, 42,Telecomm Equipment & Infra Services
231,ITI, 98,Telecommunications - Equipment - Large, 42,Telecomm Equipment & Infra Services
232,Rossell India, 253,Tea - Processing And Trading, 9,Plantation & Plantation Products
233,Grob Tea Co, 10,Tea - Indian - Medium / Small, 9,Plantation & Plantation Products
